player,points,rebounds,assists,class
Kyle Lowry,21.0,4.6,6.9,0
Timothe Luwawu-Cabarrot,0.5,0.0,0.0,4
Trey Lyles,4.3,6.1,1.3,4
Daryl Macon,1.0,0.0,0.3,4
Josh Magette,1.7,1.0,0.7,4
Ian Mahinmi,8.0,5.5,1.0,4
Thon Maker,3.3,1.8,0.4,4
Terance Mann,2.5,1.2,1.2,4
Boban Marjanovic,7.5,5.5,0.7,4
Lauri Markkanen,14.3,6.8,1.7,1
Caleb Martin,1.8,1.3,0.8,4
Cody Martin,2.8,2.1,1.1,4
Kelan Martin,3.9,2.9,0.3,4
Frank Mason,2.0,0.0,1.0,4
Garrison Mathews,0.0,0.5,1.0,4
Wesley Matthews,8.3,2.3,1.4,4
Patrick McCaw,4.0,3.0,1.5,4
CJ McCollum,22.0,4.5,3.8,0
T.J. McConnell,6.3,2.7,5.0,4
Jalen McDaniels,2.0,1.0,0.0,4
Doug McDermott,9.1,2.6,1.2,4
JaVale McGee,7.3,6.2,0.7,4
Rodney McGruder,4.0,2.4,0.8,4
Alfonzo McKinnie,3.1,2.2,0.2,4
Jordan McLaughlin,2.8,1.8,2.0,4
Ben McLemore,10.0,2.4,0.9,4
Jordan McRae,8.9,2.4,2.8,4
Nicolo Melli,5.7,2.8,1.1,4
De'Anthony Melton,5.5,2.9,2.8,4
Chimezie Met,2.7,1.8,0.3,4
Khris Middleton,17.4,5.6,3.3,1
CJ Miles,6.4,1.2,1.2,4
Darius Miller,8.2,1.9,2.1,4
Malcolm Miller,2.3,0.6,0.5,4
Patty Mills,11.1,1.4,2.3,1
Paul Millsap,13.0,5.9,1.3,1
Shake Milton,3.9,0.9,0.8,4
Donovan Mitchell,24.6,4.7,3.6,0
Naz Mitrou-Long,4.7,2.0,2.3,4
Malik Monk,9.3,2.6,2.2,4
E'Twaun Moore,9.6,3.2,1.4,4
Ja Morant,18.6,3.2,6.4,3
Markieff Morris,10.4,3.7,1.6,1
Monte Morris,7.2,1.7,3.4,4
Marcus Morris Sr.,18.6,5.8,1.3,1
Johnathan Motley,1.5,1.0,1.0,4
Emmanuel Mudiay,7.4,2.5,2.5,4
Dejounte Murray,9.7,6.1,4.1,4
Jamal Murray,18.2,4.3,4.8,1
Dzanan Musa,4.9,2.6,1.3,4
Mike Muscala,3.6,2.4,1.0,4
Svi Mykhailiuk,5.6,1.2,1.3,4
Abdel Nader,6.8,1.8,0.5,4
Larry Nance Jr.,10.1,7.4,1.5,1
Shabazz Napier,7.3,2.2,3.1,4
Raul Neto,4.5,1.1,1.6,4
Georges Niang,4.1,1.6,0.5,4
Nerlens Noel,7.7,5.0,1.4,4
Zach Norvell Jr.,0.0,0.5,0.0,4
Jaylen Nowell,1.5,0.5,1.5,4
Frank Ntilikina,6.4,2.1,3.4,4
Kendrick Nunn,15.3,2.5,3.4,1
Jusuf Nurkic,15.6,10.4,3.2,2
David Nwaba,4.3,2.1,0.3,4
Royce O'Neale,6.0,4.7,2.6,4
Kyle O'Quinn,3.8,3.9,1.4,4
Semi Ojeleye,2.9,1.9,0.4,4
Jahlil Okafor,9.2,4.6,1.4,4
Elie Okobo,4.2,1.0,2.5,4
Josh Okogie,8.6,5.3,1.7,4
KZ Okpala,0.0,0.5,0.0,4
Victor Oladipo,18.8,5.6,5.2,3
Kelly Olynyk,9.0,4.9,1.3,4
Miye Oni,0.0,0.3,0.0,4
Cedi Osman,9.6,3.5,2.1,4
Kelly Oubre Jr.,17.2,6.0,1.5,1
Jabari Parker,16.2,6.3,1.9,1
Chandler Parsons,3.7,1.3,0.7,4
Eric Paschall,17.1,5.3,1.8,1
